Serial Number,Document Type,Year,Title,Abstract,Authors,Source,GPT Primary,GPT Primary Desc,GPT Secondary,GPT Tertiary,GPT Reasoning,Claude Primary,Claude Primary Desc,Claude Secondary,Claude Tertiary,Claude Reasoning
P3914,paper,1975,FERROFLUIDS: LIQUID MAGNETICS.,"Ferrofluids consist of magnetic particles suspended colloidally in a carrier fluid. At first limited to carrier liquids of kerosene and water, ferrofluids can now be manufactured with virtually any carrier liquid, including natural and synthetic lubricants. Most current applications for ferrofluids exploit the ability to position and control the ferrous materials magnetically. Applications under development are tapping ferrofluid properties for other than magnetic positioning. Typical applications discussed in this article include zero-leakage seals, sealing potentiometers and motors, a laser face seal, ferrofluidic damping, permanent printing and erasable displays, and ferrolubricants.","[""Moskowitz Ronald""]",IEEE Spectrum,47,"Application > Bearing, Seal, Lubricant",49,50,"The abstract primarily discusses applications of ferrofluids in seals and lubricants, which aligns with code 47. It also mentions damping and displays, which relate to code 49. The abstract provides an overview of various applications, suggesting a review-like nature, which corresponds to code 50.",50,Review / Book > Review - Survey,47,12,"This abstract provides a comprehensive survey of ferrofluid applications and manufacturing capabilities, making it primarily a review (50). The extensive discussion of seals, lubricants, and bearings makes bearing/seal/lubricant applications (47) the secondary focus. The mention of manufacturing ferrofluids with various carrier liquids relates to formulation (12) as the tertiary classification."
P3918,paper,1975,DESIGNING WITH FERROFLUIDS.,"Fluids that remain liquid while being magnetically positioned, directed, and controlled have expanded the world of fluid mechanics. These ferromagnetic fluids are increasingly yielding simple and innovative solutions to both old and new design and product problems. Application areas of magnetic fluids include sealing, lubrication, damping, printing, materials separation, chemical and petroleum processing, visualization/display, and thermal effects.","[""Moskowitz Ronald""]",Mechanical Engineering,47,"Application > Bearing, Seal, Lubricant",49,50,"The abstract discusses various applications of magnetic fluids, with a focus on sealing, lubrication, and damping, which aligns with code 47. Code 49 is relevant due to the mention of damping and other engineering applications. Code 50 is chosen as tertiary because the abstract provides a broad overview of applications, suggesting a survey-like nature.",50,Review / Book > Review - Survey,47,49,"This abstract provides a broad survey overview of ferrofluid applications and capabilities, making it primarily a review (50). It specifically mentions sealing and lubrication as key applications (47), and covers damping, printing, and other engineering applications (49)."
P3926,paper,1975,MAGNETIC FLUIDS - SOMETHING TO CONSIDER.,"EXAMPLES OF APPLICATIONS OF MAGNETIC FLUIDS, INCLUDING SEALING, DAMPING, LUBRICATION AND PRINTING ARE DISCUSSED, AND A BRIEF DESCRIPTION OF MAGNETIC FLUIDS IS GIVEN.(SEE ALSO ABSTRACTS 2.133FS10, 4.287FS10 AND 5.393FS10, 1975) (N.G.G.)","[""MOSKOWITZ R.; EZEKIEL F.D.""]",Instruments and Control Systems,47,"Application > Bearing, Seal, Lubricant",49,50,"The abstract discusses applications of magnetic fluids, specifically mentioning sealing, damping, lubrication, and printing. The primary focus is on applications related to sealing and lubrication, which aligns with code 47. Damping and printing can be associated with code 49, which covers a broader range of applications including damping. The abstract also provides a brief description of magnetic fluids, suggesting a survey or review nature, which aligns with code 50.",50,Review / Book > Review - Survey,47,49,"The abstract describes examples of magnetic fluid applications and gives a brief description of magnetic fluids, indicating this is a review/survey paper (50). The specific applications mentioned - sealing, lubrication - align with bearing/seal/lubricant applications (47). Damping and printing fall under the broader engineering applications category (49)."
P3935,paper,1975,"USES OF MAGNETIC FLUIDS IN BEARINGS, LUBRICATION AND DAMPING.","WITH THE AVAILABILITY OF MAGNETIC FLUIDS, A WIDE VARIETY OF APPLICATIONS HAS EMERGED DURING THE PAST FEW YEARS.THIS PAPER FOCUSSES ON ADVANCES IN THREE AREAS: DAMPING, BEARINGS AND LUBRICATION.(A)","[""EZEKIEL F.D.""]",,47,"Application > Bearing, Seal, Lubricant",49,50,"The abstract focuses on advances in applications of magnetic fluids specifically in damping, bearings, and lubrication, which aligns with code 47 (Bearing, Seal, Lubricant) as the primary classification. The mention of damping suggests relevance to code 49 (Damping, Physics, Environmental, Engineering, Instruments to evaluate FF) as the secondary classification. The abstract also implies a review of recent advances, which aligns with code 50 (Review - Survey) as the tertiary classification.",50,Review / Book > Review - Survey,47,49,"The abstract describes a paper that 'focusses on advances in three areas' of magnetic fluid applications, indicating this is a review/survey paper (50). The three specific application areas mentioned are damping, bearings and lubrication, which directly correspond to code 47 (Bearing, Seal, Lubricant) and code 49 (damping). The broad coverage of multiple application areas and focus on 'advances' confirms this is a review rather than original research."
P3910,paper,1976,FLOWING MAGNETS FOR POWER.,"The terms ″ferromagnetic liquids″ or ″ferrofluids″ , refer not to a single phase liquid, but to a dispersion of small (that is, 10** minus **6 to 10** minus **5 cm diameter) magnetic particles in a liquid. This colloidal dispersion will have both ferromagnetic and liquid properties and in the presence of a magnetic field its gross behavior can be radically altered while it still remains liquid-like. It is shown how electrical energy may be produced directly from heat using the properties of ferromagnetic liquids.","[""Windle P.L.""]",Electr Eng (Melb),13,Material > Properties,38,46,"The abstract discusses the properties of ferrofluids, particularly their ability to exhibit both ferromagnetic and liquid properties, which aligns with code 13 (Properties). It also mentions the production of electrical energy from heat using these properties, which relates to code 38 (Using principles of magnetic induction) and code 46 (Heat transfer).",46,Application > Heat transfer,13,38,"The abstract focuses on converting heat to electrical energy using ferrofluid properties, making heat transfer applications (46) the primary classification. The discussion of ferrofluid properties like ferromagnetic and liquid behavior makes properties (13) secondary. The energy conversion process using magnetic field effects relates to magnetic induction principles (38) as tertiary."
P3913,paper,1976,Application of ferrofluid density separation to particles in the micrometer-size range.,A number of particle-separation experiments were carried out with the 'Variable Density Ferrofluid Separator'. Various strengths of hydrocarbon base ferrofluids were used in test density separations of micrometre-sized particles. A sample separation cell was designed and built that effectively separated sink and float sample fractions. The device was demonstrated to effectively separate particles down to nominally 50 MUm on the basis of density. Tests with smaller particle sizes were sometimes successful but they could not be consistently reproduced. The device is particularly useful above a density of three where common high-density liquid systems become very difficult to manipulate. Several operational requirements were disclosed during the present investigation. It is recommended that research be pursued to evaluate and improve separations at particle sizes smaller than 50 MUm.,"[""Strebin R.S.; Johnson J.W.; Robertson D.M.""]",,14,Material > Evaluation / Characterization,37,49,"The abstract primarily focuses on the evaluation and characterization of a ferrofluid-based particle separation device, which aligns with code 14. The experiments conducted fall under experimentation beyond evaluation, fitting code 37. The development and use of an instrument for evaluating ferrofluid properties and separations suggest relevance to code 49.",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",37,13,"Primary 49: The abstract describes a ferrofluid separator instrument used for particle separation, which falls under 'Instruments to evaluate FF'. Secondary 37: This involves experimental work beyond basic evaluation, testing various ferrofluid strengths and particle sizes. Tertiary 13: The work characterizes ferrofluid properties in the context of density separation applications."
P3979,paper,1976,ELECTROMAGNETIC METHODS OF REDUCTION OF CAVITATION EROSION OF HYDRAULIC EQUIPMENT.,"DUE TO ECONOMIC CONSIDERATIONS THE WORKING PARTS OF HYDRAULIC EQUIPMENT (VALVES, PUMPS, TURBINES ETC.) MAY BE MADE OF CARBON STEEL WHICH IS VERY SUSCEPTIBLE TO CAVITATION DAMAGE.TWO ELECTROMAGNETIC METHODS OF REDUCING CAVITATION EROSION ARE CONSIDERED: ELECTROMAGNETIC FIELDS ANO FERROMAGNETIC LIQUIDS.","[""SHALNEV K.K.; SHALOBASOV I.A.; DEGTAR V.G.""]",,47,"Application > Bearing, Seal, Lubricant",38,14,"The abstract discusses the use of ferromagnetic liquids to reduce cavitation erosion in hydraulic equipment, which aligns with the application of ferrofluids as bearings, seals, or lubricants (code 47). The mention of electromagnetic methods suggests the use of magnetic induction principles (code 38). The consideration of these methods implies some level of evaluation or characterization of the ferrofluids (code 14).",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",38,47,"Primary 49: The abstract discusses engineering applications using ferromagnetic liquids to reduce cavitation erosion in hydraulic equipment, fitting the 'Engineering' category. Secondary 38: The use of electromagnetic fields and ferromagnetic liquids involves magnetic induction principles. Tertiary 47: The application is specifically for hydraulic equipment components (valves, pumps, turbines) which relates to mechanical systems that could involve sealing or lubrication aspects."
PT258,patent,1976,Inclinometer,Disclosed is an inclinometer particularly adapted for use as a top-hole indicator in drilling operations. The inclinometer employs a ferrofluid in a closed tube; the fluid serves as an angle-sensitive movable core of a differential transformer. The secondary coils of the transformer are wrapped around the tube; the primary coil is wrapped around a core piece or the tube. Equipment is provided for comparing the outputs of the secondary coils to produce an angle signal. A sturdy construction for downhole use is disclosed.,"[""CHANEY PRESTON E""]",US 3984918 A,44,"Application > Geology, Oil-field recovery",38,49,"The abstract describes an inclinometer using ferrofluid for drilling operations, which is directly related to geology and oil-field recovery, making 44 the primary classification. The use of a differential transformer with ferrofluid involves principles of magnetic induction, justifying 38 as the secondary classification. The application of ferrofluid in an instrument for evaluating angles in drilling operations aligns with engineering and instruments to evaluate FF, supporting 49 as the tertiary classification.",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",38,44,Primary 49: The inclinometer is an engineering instrument that uses ferrofluid as a sensing element. Secondary 38: The device operates on magnetic induction principles with differential transformer coils. Tertiary 44: The application is specifically for drilling operations and top-hole indication in geological/oil-field contexts.
P3941,paper,1977,SIMPLE DEVICE FOR CONCENTRATION MEASUREMENTS OF THE MAGNETIC MATERIAL IN FERROFLUIDS.,"An installation relying on an ac-bridge, used to plot the spatial and temporal contour of the magnetic material volumetric fraction in colloidal suspensions is described. A comparison concerning the resolution and sensibility of three different constructive types of transducers is made.","[""Rabinovici R.; Badescu V.""]",Rev Roum Phys,14,Material > Evaluation / Characterization,49,38,"The abstract describes an installation for plotting the spatial and temporal contour of magnetic material volumetric fraction, which aligns with 'Evaluation / Characterization' (14). The mention of using an ac-bridge and transducers suggests the use of instruments to evaluate ferrofluids, fitting 'Instruments to evaluate FF' (49). The use of magnetic principles in the installation aligns with 'Using principles of magnetic induction' (38).",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",14,37,"The abstract describes an AC-bridge installation for measuring magnetic material volumetric fraction in colloidal suspensions, which is primarily an instrument to evaluate ferrofluids (code 49). The work involves characterization of materials through spatial and temporal contour plotting (code 14). The comparison of different transducer types represents experimental work beyond basic evaluation (code 37)."
P3961,paper,1977,MEASURING THE THERMAL CONDUCTIVITY AND THE ELECTRICAL CONDUCTIVITY OF A FERROFLUID IN A MAGNETIC FIELD.,"The effect of a magnetic field on the transfer properties of ferrofluids is important, inasmuch as it has been hypothesized that these properties can be controlled by means of a magnetic field. Accordingly, a project was undertaken to measure the thermal conductivity lambda and the electrical conductivity sigma of a ferrofluid (magnetite dispersion in kerosene stabilized with olein) so as to establish whether a magnetic field affects these properties. The thermal conductivity was measured by the relative variant of the hot-wire method. Schematic diagram for measurement of electric conductivity is given. Results indicate the high stability of the ferrofluid and the absence of noticeable structural changes in the system upon application of a magnetic field.","[""Kronkalns G.E.""]",Magnetohydrodynamics,13,Material > Properties,14,46,"The abstract primarily focuses on the properties of ferrofluids, specifically thermal and electrical conductivity, under the influence of a magnetic field, which aligns with code 13 (Properties). The measurement of these properties suggests an evaluation or characterization aspect, aligning with code 14 (Evaluation / Characterization). The mention of thermal conductivity and its measurement method indicates relevance to heat transfer, aligning with code 46 (Heat transfer).",14,Material > Evaluation / Characterization,13,37,Primary: 14 (Evaluation/Characterization) - the study measures thermal and electrical conductivity to evaluate ferrofluid properties under magnetic field. Secondary: 13 (Properties) - focuses on transfer properties (thermal/electrical conductivity) of ferrofluids. Tertiary: 37 (Other experimentation) - involves experimental measurement using hot-wire method and electrical conductivity apparatus beyond basic evaluation.
P3919,paper,1978,SOME ASPECTS OF THE PROCOPIU EFFECT IN FERROFLUIDS.,An expression of the Procopiu emf E//p for ferrofluids was calculated using the superparamagnetic behavior given by Langevin's relation. A comparison between the experimental and theoretical results are made.,"[""Luca E.; Cotae C.; Calugaru Gh.""]",Revue roumaine de physique,14,Material > Evaluation / Characterization,24,38,"The abstract discusses the calculation of Procopiu emf for ferrofluids using superparamagnetic behavior, which aligns with the evaluation/characterization of ferrofluid properties (code 14). The use of Langevin's relation suggests a modeling aspect, which fits under computation modeling (code 24). The mention of emf and comparison between experimental and theoretical results suggests an application related to magnetic induction principles (code 38).",24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",37,13,"The abstract describes calculating a theoretical expression for Procopiu emf using Langevin's relation for superparamagnetic behavior, which is clearly mathematical modelling (24). The comparison with experimental results indicates experimental work beyond basic evaluation (37). The focus on emf properties of ferrofluids relates to characterizing material properties (13)."
P3950,paper,1978,A new method for observing steady-state vibrations at liquid-air interfaces,"A new method of studying steady-state resonant vibrations at liquid-air interfaces, using recently developed ferrofluids, is described. In such liquids it is possible to set up vibrations by external magnetic fields alone. An arrangement incorporating such a system may be used to demonstrate resonances in the liquid and to study the mixing of magnetic forces at different frequencies. © 1978, American Association of Physics Teachers. All rights reserved.","[""Jacobson D.M.; Kaplan B.Z.""]",American Journal of Physics,15,"Material > Manipulation, Droplets, other",13,49,"The abstract describes a method involving the manipulation of ferrofluids using magnetic fields to study resonant vibrations, which aligns with code 15 (Manipulation, Droplets, other). The study of resonances and mixing of magnetic forces suggests an interest in the properties of the ferrofluid, aligning with code 13 (Properties). The application of this method to demonstrate resonances and study mixing at different frequencies relates to the use of instruments and physics principles, aligning with code 49 (Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF).",37,Experimentation > Other than evaluation indicated in class 14,49,48,"The abstract describes an experimental method for studying resonant vibrations at liquid-air interfaces using ferrofluids and external magnetic fields. This is primarily experimental work (37) beyond basic characterization. The study involves physics instrumentation and vibration phenomena (49), and relates to vibration/resonance effects which connects to levitation and physics applications (48)."
